Date,Deaths,Confirmed
12-03-2020,0,1
13-03-2020,0,1
14-03-2020,0,1
15-03-2020,0,1
16-03-2020,0,1
17-03-2020,0,1
18-03-2020,0,1
19-03-2020,0,2
20-03-2020,0,3
21-03-2020,0,3
22-03-2020,0,5
23-03-2020,0,7
24-03-2020,0,8
25-03-2020,0,9
26-03-2020,0,11
27-03-2020,0,12
28-03-2020,0,14
29-03-2020,0,19
30-03-2020,0,23
31-03-2020,0,40
01-04-2020,0,83
02-04-2020,1,86
03-04-2020,1,132
04-04-2020,1,161
05-04-2020,1,190
06-04-2020,3,226
07-04-2020,3,266
08-04-2020,4,305
09-04-2020,4,348
10-04-2020,6,363
11-04-2020,6,381
12-04-2020,6,381
13-04-2020,7,432
14-04-2020,9,473
15-04-2020,9,503
16-04-2020,14,534
17-04-2020,14,572
18-04-2020,15,603
19-04-2020,15,603
20-04-2020,20,722
21-04-2020,22,757
22-04-2020,24,813
23-04-2020,27,895
24-04-2020,29,955
25-04-2020,31,1061
26-04-2020,31,1097
27-04-2020,31,1177
28-04-2020,31,1259
29-04-2020,31,1332
30-04-2020,31,1403
01-05-2020,33,1463
02-05-2020,33,1463
03-05-2020,33,1583
04-05-2020,36,1650
05-05-2020,36,1717
06-05-2020,36,1717
07-05-2020,36,1777
08-05-2020,38,1847
09-05-2020,41,1887
10-05-2020,44,1930
11-05-2020,45,1980
12-05-2020,45,2018
13-05-2020,46,2090
14-05-2020,47,2137
15-05-2020,48,2205
16-05-2020,48,2307
17-05-2020,49,2355
18-05-2020,50,2407
19-05-2020,50,2474
20-05-2020,52,2532
21-05-2020,53,2602
22-05-2020,53,2647
23-05-2020,55,2709
24-05-2020,56,2757
25-05-2020,56,2823
26-05-2020,56,3110
27-05-2020,57,3171
28-05-2020,58,3171
29-05-2020,59,3251
30-05-2020,60,3436
31-05-2020,60,3569
01-06-2020,62,3679
02-06-2020,64,3783
03-06-2020,64,3898
04-06-2020,68,4080
05-06-2020,71,4223
06-06-2020,73,4303
07-06-2020,73,4510
08-06-2020,75,4708
09-06-2020,75,4851
10-06-2020,77,5070
11-06-2020,78,5269
12-06-2020,80,5429
13-06-2020,80,5680
14-06-2020,82,5965
15-06-2020,84,6163
16-06-2020,88,6456
17-06-2020,88,6841
18-06-2020,90,7071
19-06-2020,92,7518
20-06-2020,96,7961
21-06-2020,101,8452
22-06-2020,106,8999
23-06-2020,111,9372
24-06-2020,119,10002
25-06-2020,124,10331
26-06-2020,136,10884
27-06-2020,148,11489
28-06-2020,157,12285
29-06-2020,169,13241
30-06-2020,180,13891
01-07-2020,187,14595
02-07-2020,193,15252
03-07-2020,198,16097
04-07-2020,206,16934
05-07-2020,218,17699
06-07-2020,232,18697
07-07-2020,239,20019
08-07-2020,252,21197
09-07-2020,264,22259
10-07-2020,277,23814
11-07-2020,292,25422
12-07-2020,309,27235
13-07-2020,328,29168
14-07-2020,365,31103
15-07-2020,408,33019
16-07-2020,452,35451
17-07-2020,492,38044
18-07-2020,534,40646
19-07-2020,586,44609
20-07-2020,642,49650
21-07-2020,696,53724
22-07-2020,758,58668
23-07-2020,823,64713
24-07-2020,884,72711
25-07-2020,933,80858
26-07-2020,985,88671
27-07-2020,1041,96298
28-07-2020,1090,102349
29-07-2020,1148,110297
30-07-2020,1213,120390
31-07-2020,1281,130557
01-08-2020,1349,140933
02-08-2020,1407,150209
03-08-2020,1474,158764
04-08-2020,1537,166586
05-08-2020,1604,176333
06-08-2020,1681,186461
